id,name,category,displayCategory,needTags,situationTags,supportTags,eligibility,provider,catchment,referral,description,link,linkLabel,source,confidence
verified-rehab-at-home-29,Rehab at home,Rehabilitation,Rehabilitation,post-acute,hospital-discharge,clinical,Medically stable clients with rehabilitation goals achievable in a 2 to 3 week admission.,Hospital (SVHM),"Yarra, Boroondara and Darebin.",Internal referral via Electronic Patient Journey Board. External referrals: svhm.rehabathome@svha.org.au.,"Admitted home-based specialist rehabilitation with rehabilitation physician, nursing, allied health and pharmacy input, plus 24-hour phone support.",https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/rehab-home,,audited workbook,verified-public-source
verified-rehabilitation-in-the-home-rith-difference-31,Rehabilitation In The Home (RITH) - difference?,Rehabilitation,Rehabilitation,post-acute,hospital-discharge,clinical,"People in Boroondara, Yarra and Darebin south of Bell Street who are stable, have rehabilitation goals and can actively participate.",Hospital (SVHM Community Rehabilitation),"Home-based RITH: Boroondara, Yarra and Darebin south of Bell Street.",HIP Central Referrals: phone 1300 131 470 option 1; HIPCentralReferrals@svha.org.au.,"Non-admitted Community Rehabilitation home service after hospital admission. Distinct from Rehab at Home, which is admitted rehabilitation.",https://www.svhm.org.au/health-professionals/gp-liaison/community-and-home-services/rehabilitation-in-the-home-rith,,audited workbook,verified-public-source
directory-support-for-specific-health-conditions-cancer-council-victoria,Cancer Council Victoria,Support for Specific Health Conditions,Condition-specific,condition-specific,,information,"Cancer patients, people living with cancer, families, carers, friends, teachers, students and healthcare professionals.",Cancer Council,Australia; state and territory Cancer Councils.,"Call Cancer Council 13 11 20. Service is generally open Monday to Friday 9am-5pm, with some state variation.","Free confidential cancer information and support service offering emotional, practical and cancer-related information support.",https://www.cancer.org.au/support-and-services/cancer-council-13-11-20,Cancer Council 13 11 20,pasted directory,verified-public-source
directory-support-for-specific-health-conditions-dementia-australia,Dementia Australia,Support for Specific Health Conditions,Condition-specific,condition-specific,,information,"People living with dementia or mild cognitive impairment, carers, family/friends, professionals, or people concerned about thinking, mood or memory.",Dementia Australia,Australia,"Call the National Dementia Helpline on 1800 100 500, use live chat, email helpline@dementia.org.au, or submit a personal referral form.","Free confidential 24/7 helpline providing dementia information, advice, emotional support, guidance and links to services.",https://www.dementia.org.au/get-support/national-dementia-helpline,National Dementia Helpline | Dementia Australia,pasted directory,verified-public-source
directory-support-for-specific-health-conditions-leukaemia-foundation,Leukaemia Foundation,Support for Specific Health Conditions,Condition-specific,condition-specific,,information,"People living with blood cancer, carers, family members, and healthcare providers supporting someone with blood cancer.",Leukaemia Foundation,Australia,"Call the Blood Cancer Support Line on 1800 620 420, Monday to Friday 9am-4pm AEST. Healthcare professionals can use the online support services referral form.","National blood cancer support service offering information, emotional support, accommodation, transport, financial support, support groups and navigation.",https://www.leukaemia.org.au/get-support/support-services-application/,Leukaemia Foundation support services application and referral form,pasted directory,verified-public-source
verified-stroke-foundation-strokeline,Stroke Foundation - StrokeLine,Condition-specific support,Condition-specific,condition-specific; stroke; neurological; rehabilitation,post-discharge; carer-support; new-diagnosis,information; navigation; phone-support,"Stroke survivors, families, carers and health professionals seeking stroke information and support in Australia.",Stroke Foundation,Australia-wide,"Call StrokeLine on 1800 787 653 or use the Stroke Foundation website for stroke information, recovery and support resources.","National stroke information and support line helping stroke survivors, families, carers and professionals access practical information, recovery resources and service navigation.",https://strokefoundation.org.au/what-we-do/for-survivors-and-carers/strokeline,Stroke Foundation - StrokeLine,official public webpage,verified-public-source
directory-support-for-specific-health-conditions-multiple-sclerosis-ms-society-of-australia,MS Plus,Support for Specific Health Conditions,Condition-specific,condition-specific,,information,"People living with multiple sclerosis or other neurological conditions, plus carers, family and friends seeking information, supports or services.",MS Plus,"Victoria, New South Wales, ACT, Tasmania and telehealth depending on service",Call MS Plus freecall 1800 042 138 or use the MS Plus health professional referral pathway / service finder.,"Neuro wellbeing organisation offering emotional and practical support for every stage of the MS journey, plus NDIS, allied health, accommodation, employment, peer support and education programs.",https://www.msplus.org.au/,MS Plus,official public webpage,verified-public-source
verified-vptas-32,Victorian Patient Transport Assistance Scheme (VPTAS),Transport / travel,Transport,housing; transport; financial-legal,,money; legal,"Victorian residents who meet citizenship or residency rules and travel long distances to the closest eligible specialist medical or dental service, including 100 km one way or 500 km in one week from rural/regional Victoria.",Victorian Government,Victoria,"Patient, guardian, power of attorney or guardian can submit a claim with specialist confirmation within 12 months.",Financial assistance toward travel and accommodation costs for eligible Victorians travelling for specialist treatment.,https://www.health.vic.gov.au/rural-health/victorian-patient-transport-assistance-scheme-vptas,,audited workbook,verified-public-source
directory-vahs-victorian-aboriginal-community-controlled-health-organisation-vaccho,Victorian Aboriginal Community Controlled Health Organisation (VACCHO),VAHS,Identity-specific,information; identity-specific,aboriginal,information,"Aboriginal and Torres Strait Islander people and communities seeking culturally safe health and wellbeing pathways, usually via local Aboriginal Community Controlled Organisations.",VACCHO,Victoria,Use VACCHO member information to identify a local Aboriginal Community Controlled Organisation. For sector/member navigation contact VACCHO on 03 9411 9411.,"Peak representative body for Aboriginal and Torres Strait Islander health and wellbeing in Victoria, supporting 34 member Aboriginal Community Controlled Organisations.",https://www.vaccho.org.au/,VACCHO,official public webpage,verified-public-source
directory-vahs-victorian-aboriginal-legal-service-vals,Victorian Aboriginal Legal Service (VALS),VAHS,Legal,information; financial-legal; identity-specific,aboriginal,legal,Aboriginal and Torres Strait Islander people in Victoria needing culturally safe legal assistance or support programs.,Victorian Aboriginal Legal Service,Victoria,"Call VALS on 1800 064 865 for legal assistance and first contact. For custody or urgent legal situations, use VALS' 24-hour criminal law pathway as directed by VALS.","Culturally capable legal service for Aboriginal people in criminal, family and civil law, with client service officers and community justice programs including family violence and women's transitional housing support.",https://www.vals.org.au/,VALS,official public webpage,verified-public-source
verified-dva-33,Department of Veterans' Affairs (DVA),Veterans support,Financial,transport; financial-legal; carer-family; veterans,veteran,clinical; personal-care,DVA clients and members of the veteran community who are eligible for DVA health supports or Veteran Card arrangements.,Australian Government Department of Veterans' Affairs,Australia,"DVA contact: 1800 838 372. Access may be through DVA Veteran Card arrangements, MyService/myGov, or DVA health providers depending on the support.","DVA health support can help with health care costs, medicines, transport, social networks, staying at home, care at home and aged care pathways.",https://www.dva.gov.au/what-we-help-with/health-support,,audited workbook,verified-public-source
